,open,high,low,close,volume
t-8,0.011109918355941772,0.04195335507392883,0.023614436388015747,0.0012557804584503174,0.0144578218460083
t-7,0.025500565767288208,0.008412212133407593,0.03568693995475769,0.01699921488761902,0.0079212486743927
t-6,0.004213243722915649,0.03481975197792053,0.054976075887680054,0.01832982897758484,0.0033299028873443604
t-5,0.0017332136631011963,0.029985934495925903,0.034983307123184204,0.011407822370529175,0.00954592227935791
t-4,0.07233822345733643,0.014943808317184448,0.033712953329086304,0.002435356378555298,0.024469107389450073
t-3,0.010200947523117065,0.026900798082351685,0.05364373326301575,0.06786257028579712,0.009742408990859985
t-2,0.003952980041503906,0.009787172079086304,0.028399795293807983,0.042067527770996094,0.0018228590488433838
t-1,0.04178759455680847,0.11281338334083557,0.031748950481414795,0.04300609230995178,0.020875006914138794
