,0
t-8,0.018285423517227173
t-7,0.024933576583862305
t-6,0.03145650029182434
t-5,0.03809109330177307
t-4,0.04759126901626587
t-3,0.06477054953575134
t-2,0.07484641671180725
t-1,0.09894156455993652
