,open,high,low,close,volume
t-8,0.007748037576675415,0.0034970343112945557,0.0060766637325286865,0.005464911460876465,0.0010918974876403809
t-7,0.00968867540359497,0.003948599100112915,0.007760882377624512,0.006440848112106323,0.0020788908004760742
t-6,0.01195940375328064,0.004243940114974976,0.009627372026443481,0.00736883282661438,0.0044911205768585205
t-5,0.014260858297348022,0.004242360591888428,0.011724859476089478,0.008261829614639282,0.006242960691452026
t-4,0.016683369874954224,0.0037309229373931885,0.013826072216033936,0.008796989917755127,0.009844988584518433
t-3,0.01863473653793335,0.002401202917098999,0.015825659036636353,0.008876174688339233,0.01768636703491211
t-2,0.019991010427474976,0.0002786219120025635,0.01732349395751953,0.007868200540542603,0.023060619831085205
t-1,0.020596832036972046,0.006011456251144409,0.018446147441864014,0.011791795492172241,0.006845980882644653
