,open,high,low,close,volume
t-8,0.002642124891281128,0.004930287599563599,0.0022495687007904053,0.005407661199569702,0.003055781126022339
t-7,0.004438579082489014,0.006571769714355469,0.0030873119831085205,0.006949663162231445,0.0038862526416778564
t-6,0.0061556994915008545,0.007976382970809937,0.003679603338241577,0.008451849222183228,0.005192965269088745
t-5,0.0091361403465271,0.009236752986907959,0.00501483678817749,0.00951799750328064,0.005185365676879883
t-4,0.010916322469711304,0.010827571153640747,0.0059677064418792725,0.012554675340652466,0.00732499361038208
t-3,0.017421454191207886,0.014227509498596191,0.008024036884307861,0.015822380781173706,0.009275168180465698
t-2,0.023083001375198364,0.015691787004470825,0.009175270795822144,0.017645210027694702,0.009251147508621216
t-1,0.03134205937385559,0.01723584532737732,0.013707220554351807,0.02590462565422058,0.010751813650131226
