,open,high,low,close,volume
t-8,0.010355621576309204,0.002943575382232666,0.005600988864898682,0.0020706355571746826,0.00818905234336853
t-7,0.011179566383361816,0.0028705894947052,0.005102753639221191,0.002326071262359619,0.008404940366744995
t-6,0.010398924350738525,0.0030406713485717773,0.004813015460968018,0.002079993486404419,0.007766842842102051
t-5,0.011114001274108887,0.0031090378761291504,0.004626035690307617,0.0024397075176239014,0.005477845668792725
t-4,0.01111823320388794,0.0022991597652435303,0.004415690898895264,0.0023102164268493652,0.008955001831054688
t-3,0.010896414518356323,0.0031291842460632324,0.0049394965171813965,0.002200186252593994,0.008211582899093628
t-2,0.010603278875350952,0.0023997724056243896,0.0042743682861328125,0.0022000372409820557,0.007944822311401367
t-1,0.02299731969833374,0.08544957637786865,0.05408287048339844,0.026150256395339966,0.019391357898712158
