,open,high,low,close,volume
t-8,0.004376590251922607,0.003740847110748291,0.0021009445190429688,0.002206087112426758,0.001267552375793457
t-7,0.00586390495300293,0.00617140531539917,0.0030930042266845703,0.003430664539337158,0.0021634697914123535
t-6,0.007886946201324463,0.009755492210388184,0.004577457904815674,0.005147457122802734,0.003751218318939209
t-5,0.01055234670639038,0.014186739921569824,0.006645679473876953,0.007185757160186768,0.0034374594688415527
t-4,0.013950347900390625,0.02055978775024414,0.009654641151428223,0.00994497537612915,0.004943907260894775
t-3,0.01823258399963379,0.02951878309249878,0.013557672500610352,0.012804567813873291,0.0064563751220703125
t-2,0.02304142713546753,0.03897237777709961,0.019603371620178223,0.01568293571472168,0.007780969142913818
t-1,0.033973872661590576,0.0517582893371582,0.02657759189605713,0.01817983388900757,0.011593878269195557
