Model,Sector,Train_MSE_last,Val_MSE_last,Train_MAE_last,Val_MAE_last,Test_RMSE_Actual_Return,Test_MAE_Actual_Return
LSTM,Engineering,0.007260970305651426,0.002766273682937026,0.05959784984588623,0.03765804320573807,0.7703918985714898,0.49108067053907123
LSTM,Fuel & Power,0.009064126759767532,0.00547784985974431,0.06599617749452591,0.04205134138464928,1.5712467231068212,1.2479046565560732
LSTM,IT Sector,0.010177991352975368,0.005211930721998215,0.07311126589775085,0.05663593113422394,0.27985389155298224,0.20614111300636667
LSTM,Services & Real Estate,0.006503956392407417,0.001224679290316999,0.06188882887363434,0.031170232221484184,0.4509160462317852,0.3218600011576622
LSTM,Telecommunication,0.009764853864908218,0.0021483926102519035,0.06477312743663788,0.02535768412053585,1.1298275862609157,0.5726933858142198
RNN,Engineering,0.008257631212472916,0.0031747971661388874,0.06129664182662964,0.042711351066827774,0.8197202051727416,0.5201597449015184
RNN,Fuel & Power,0.0074953786097466946,0.004908198956400156,0.05875613912940025,0.03881750628352165,1.3263255891285861,1.0690519245147714
RNN,IT Sector,0.00921254139393568,0.0043557919561862946,0.07072962075471878,0.049257732927799225,0.28407500772185235,0.18216762661583227
RNN,Services & Real Estate,0.005555690731853247,0.002981893252581358,0.05541052669286728,0.04784504696726799,1.1124946090566654,0.8441864555688463
RNN,Telecommunication,0.00754581531509757,0.0021972826216369867,0.05431327596306801,0.027799537405371666,1.101384574884235,0.5377623513011391
Transformer,Engineering,0.011130810715258121,0.003393381368368864,0.07681089639663696,0.04664233326911926,0.8478416531931937,0.5260144276752158
Transformer,Fuel & Power,0.013021822087466717,0.005694159306585789,0.08249668031930923,0.04346739128232002,1.4886941231623219,1.22829900784212
Transformer,IT Sector,0.013152907602488995,0.005528073292225599,0.08592643588781357,0.057192977517843246,0.3309970306131634,0.20802442755033007
Transformer,Services & Real Estate,0.006108495406806469,0.0008200550801120698,0.055566415190696716,0.025142963975667953,0.5267750497202488,0.3609575883023888
Transformer,Telecommunication,0.012224636040627956,0.0029940244276076555,0.07618112117052078,0.040935974568128586,1.1963568336766162,0.6940135668768602
