Model,Sector,Train_MSE_last,Val_MSE_last,Train_MAE_last,Val_MAE_last,Test_MSE,Test_MAE
LSTM,OVERALL,0.0071611651219427586,0.007420102600008249,0.05930075794458389,0.03965195268392563,0.0022070216946303844,0.024100039154291153
RNN,OVERALL,0.005118594039231539,0.007299216464161873,0.04444289952516556,0.036811064928770065,0.002146247075870633,0.02225521393120289
Transformer,OVERALL,0.010925953276455402,0.008158642798662186,0.07637961953878403,0.033721912652254105,0.002354853320866823,0.02316993847489357
