Model,Sector,Train_MSE_last,Val_MSE_last,Train_MAE_last,Val_MAE_last,Test_RMSE_Actual_Return,Test_MAE_Actual_Return
LSTM,Engineering,0.007602229714393616,0.002788426587358117,0.05682111904025078,0.03778053820133209,0.8142760351086228,0.5701803654621725
LSTM,Fuel & Power,0.008827184326946735,0.005812479183077812,0.0627242773771286,0.04524635151028633,1.5902016702634967,1.251304840009355
LSTM,IT Sector,0.0073949615471065044,0.004461224656552076,0.061100803315639496,0.050642210990190506,0.2735714662213061,0.17151121965296037
LSTM,Services & Real Estate,0.002590797608718276,0.00031573817250318825,0.032523542642593384,0.015819748863577843,0.41419815535937543,0.27446651520799137
LSTM,Telecommunication,0.010386599227786064,0.00208293367177248,0.0713580846786499,0.023146089166402817,1.142712328019907,0.5957378992459362
RNN,Engineering,0.008316230028867722,0.0042655086144804955,0.06528506428003311,0.047951798886060715,0.8587142516028975,0.586821808591662
RNN,Fuel & Power,0.007939543575048447,0.005213059019297361,0.06309563666582108,0.03907140716910362,1.3861382883228093,1.0759059861912463
RNN,IT Sector,0.008185788989067078,0.006205585785210133,0.06606237590312958,0.06376434117555618,0.29896238924674334,0.17778250209864294
RNN,Services & Real Estate,0.004754895810037851,0.0013511060969904065,0.04788617789745331,0.03083149902522564,0.9394736424373167,0.7578294202636273
RNN,Telecommunication,0.007674104999750853,0.0028887351509183645,0.05641067028045654,0.03758471459150314,1.1128844771484672,0.6097516394587084
Transformer,Engineering,0.01210307888686657,0.005612870212644339,0.08088473230600357,0.06348340213298798,0.9116526956288604,0.6362630159742645
Transformer,Fuel & Power,0.010820652358233929,0.0077535780146718025,0.07285469770431519,0.05934952571988106,1.4098967215476355,1.0923815078398744
Transformer,IT Sector,0.009978769347071648,0.004802555777132511,0.0723114088177681,0.053232453763484955,0.30928494423348807,0.19265560778028806
Transformer,Services & Real Estate,0.0060041965916752815,0.0020981866400688887,0.05616441369056702,0.041209787130355835,0.8052843724707401,0.7097344233092137
Transformer,Telecommunication,0.011584506370127201,0.003276469884440303,0.0767144113779068,0.04470974579453468,1.1604170558235616,0.5879479608563807
