Model,Sector,Train_MSE_last,Val_MSE_last,Train_MAE_last,Val_MAE_last,Test_MSE,Test_MAE
LSTM,OVERALL,0.00724495155736804,0.00717142503708601,0.058956947177648544,0.03583017736673355,0.0022306714672595263,0.02541273459792137
RNN,OVERALL,0.007086705416440964,0.007460939232259989,0.058014120906591415,0.034140098839998245,0.0023616657126694918,0.025584444403648376
Transformer,OVERALL,0.007290841545909643,0.008367683738470078,0.05922507122159004,0.04294377192854881,0.0023840395733714104,0.02199808694422245
